course_code,exam_type,start_time,end_time,location
BNS-1040,Off_campus_exam,2024-11-18 09:00:00,2024-11-22 14:00:00,N/A
BVE-1051,Skriftlig_skoleeksamen,2024-11-28 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
BVE-1052,Skriftlig_skoleeksamen,2024-12-11 09:00:00,,"(ALTA): Campus Alta Byggetrinn 3 – Rom A102, Kultursalen (Alta)"
BVE-1111,Hjemmeeksamen,2024-12-10 09:00:00,2024-12-12 09:00:00,N/A
BVE-1112,Muntlig_eksamen,2025-06-02 00:00:00,2025-06-04 00:00:00,N/A
BVE-1113,Oppgave,2024-12-12 14:00:00,,N/A
BVE-1114,Muntlig_eksamen,2025-06-04 00:00:00,2025-06-06 00:00:00,N/A
BVE-1551,Skriftlig_skoleeksamen,2024-11-28 09:00:00,,(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
BVE-1552,Skriftlig_skoleeksamen,2024-12-11 09:00:00,,"(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(HARSTAD): Havnegata 5-7 – Undervisningsrom 7"
BVE-1611,Hjemmeeksamen,2024-12-10 09:00:00,2024-12-12 09:00:00,N/A
BVE-1612,Muntlig_eksamen,2025-06-02 00:00:00,2025-06-04 00:00:00,N/A
BVE-1613,Oppgave,2024-12-12 14:00:00,,N/A
BVE-1614,Muntlig_eksamen,2025-06-04 00:00:00,2025-06-06 00:00:00,N/A
BVE-2161,Hjemmeeksamen,2025-02-18 09:00:00,2025-02-20 13:00:00,N/A
BVE-2162,Muntlig_eksamen,2025-06-10 00:00:00,2025-06-13 00:00:00,N/A
BVE-2162,Oppgave,2025-05-14 14:00:00,,N/A
BVE-2562,Bacheloroppgave,2025-05-14 14:00:00,,N/A
BVE-2661,Hjemmeeksamen,2025-02-18 09:00:00,2025-02-20 13:00:00,N/A
BVE-2662,Muntlig_eksamen,2025-06-10 00:00:00,2025-06-13 00:00:00,N/A
BVE-2662,Oppgave,2025-05-14 14:00:00,,N/A
BVE-3010,Hjemmeeksamen,2025-01-15 09:00:00,2025-01-17 09:00:00,N/A
BVE-3020,Hjemmeeksamen,2024-12-10 09:00:00,2024-12-12 09:00:00,N/A
BVE-3020,Skriftlig_skoleeksamen,2024-12-04 09:00:00,,(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
BVE-3030,Hjemmeeksamen,2025-03-10 09:00:00,2025-03-14 13:00:00,N/A
BVE-3060,Muntlig_eksamen,2024-12-11 00:00:00,2024-12-12 00:00:00,N/A
BVE-3970,Oppgave,2025-05-15 14:00:00,,N/A
BVEX6,Hjemmeeksamen,2025-05-14 14:00:00,,N/A
BVEX6,Muntlig_eksamen,2025-06-10 00:00:00,2025-06-13 00:00:00,N/A
ENG-1005,Skriftlig_skoleeksamen,2024-11-22 09:00:00,,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)"
ENG-1014,Portfolio,2024-12-06 09:00:00,2024-12-13 14:00:00,N/A
ENG-1014,Portfolio,2025-05-15 14:00:00,,N/A
ENG-1016,Off_campus_exam,2025-06-02 09:00:00,2025-06-02 13:00:00,N/A
ENG-1110,School_exam,2025-05-06 09:00:00,,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
ENG-1120,School_exam,2024-11-26 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-1122,School_exam,2024-12-03 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-2050,School_exam,2024-12-04 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ENG-2050,School_exam,2025-06-03 09:00:00,,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
ENG-2106,Off_campus_exam,2024-12-06 09:00:00,2024-12-13 14:00:00,N/A
ENG-2129,School_exam,2025-05-22 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-2950,Oppgave,2025-05-15 14:00:00,,N/A
ENG-2951,Oppgave,2025-05-15 14:00:00,,N/A
ENG-2980,Oppgave,2025-05-15 14:00:00,,N/A
ENG-2981,Oppgave,2025-05-15 14:00:00,,N/A
ENG-3050,Assignment,2024-11-27 14:00:00,,N/A
ENG-3051,Assignment,2024-11-27 14:00:00,,N/A
ENG-3060,Assignment,2025-04-24 14:00:00,,N/A
ENG-3070,Assignment,2024-12-13 14:00:00,,N/A
ENG-3105,Assignment,2025-04-30 14:00:00,,N/A
ENG-3114,Assignment,2024-12-11 14:00:00,,N/A
ENG-3122,Assignment,2025-05-07 14:00:00,,N/A
ENG-3130,Assignment,2024-12-09 14:00:00,,N/A
ENG-3192,Assignment,2024-12-04 14:00:00,,N/A
ENG-3197,Portfolio,2025-05-21 14:00:00,,N/A
ENG-3982,Oppgave,2025-05-15 14:00:00,,N/A
ENG-3983,Oppgave,2025-05-15 14:00:00,,N/A
ENG-3991,Assignment,2025-05-15 14:00:00,,N/A
ENG-3992,Assignment,2025-05-15 14:00:00,,N/A
EXF-0712,Hjemmeeksamen,2024-12-05 09:00:00,2024-12-05 14:00:00,N/A
EXF-0712,Hjemmeeksamen,2025-05-02 09:00:00,2025-05-02 14:00:00,N/A
EXF-0714,Skriftlig_skoleeksamen,2024-12-05 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-0700,Muntlig_eksamen,2024-11-18 00:00:00,2024-11-29 00:00:00,N/A
FIL-0700,Muntlig_eksamen,2025-05-19 00:00:00,2025-05-30 00:00:00,N/A
FIL-0700,Oppgave,2025-05-06 14:00:00,,N/A
FIL-0700,Obligatorisk_frammøte_på_undervisning,2024-11-18 00:00:00,2024-11-29 00:00:00,N/A
FIL-0702,Hjemmeeksamen,2025-04-23 09:00:00,2025-04-23 14:00:00,N/A
FIL-0702,Oppgave,2024-12-05 14:00:00,,N/A
FIL-0702,Oppgave,2025-06-05 14:00:00,,N/A
FIL-1021,Skriftlig_skoleeksamen,2024-12-12 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1022,Skriftlig_skoleeksamen,2025-06-12 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-1024,Oppgave,2025-05-21 14:00:00,,N/A
FIL-1025,Oppgave,2024-11-20 14:00:00,,N/A
FIL-1025,Skriftlig_skoleeksamen,2024-12-05 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1026,Oppgave,2024-11-25 14:00:00,,N/A
FIL-1026,Skriftlig_skoleeksamen,2024-12-12 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1028,Oppgave,2024-12-02 14:00:00,,N/A
FIL-1028,Skriftlig_skoleeksamen,2024-12-10 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-2031,Oppgave,2025-05-30 14:00:00,,N/A
FIL-2034,Oppgave,2024-11-29 14:00:00,,N/A
FIL-2034,Muntlig_eksamen,2024-12-16 08:30:00,,"(TROMSO): Teorifagbygget hus 1 – Rom 1.323, undervisning"
FIL-2036,Hjemmeeksamen,2025-04-29 09:00:00,2025-05-14 14:00:00,N/A
FIL-2039,Oppgave,2025-05-20 14:00:00,,N/A
FIL-2040,Skriftlig_skoleeksamen,2024-12-03 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-2041,Muntlig_eksamen,2024-12-10 08:30:00,,"(TROMSO): Teorifagbygget hus 1 – Rom 1.323, undervisning"
FIL-2041,Oppgave,2024-11-22 14:00:00,,N/A
FIL-2060,Oppgave,2024-11-25 14:00:00,,N/A
FIL-2060,Oppgave,2025-05-26 14:00:00,,N/A
FIL-2060,Muntlig_eksamen,2024-12-09 09:00:00,,N/A
FIL-3007,Oppgave,2024-11-21 14:00:00,,N/A
FIL-3010,Oppgave,2025-05-20 14:00:00,,N/A
FIL-3017,Oppgave,2024-11-26 14:00:00,,N/A
FIL-3018,Oppgave,2025-05-27 14:00:00,,N/A
FIL-3023,Oppgave,2025-06-03 14:00:00,,N/A
FIL-3024,Oppgave,2024-11-29 14:00:00,,N/A
FIL-3900,Oppgave,2025-05-15 14:00:00,,N/A
FIL-3900,Muntlig_eksamen,2024-11-20 11:00:00,,N/A
FIN-1021,Muntlig_eksamen,2024-12-02 12:00:00,,(TROMSO): Teorifagbygget hus 1 – Plan 2 rom til bruk for eksamen
FIN-1021,Skriftlig_skoleeksamen,2024-11-22 09:00:00,,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
FIN-2021,Hjemmeeksamen,2025-05-16 09:00:00,2025-05-23 14:00:00,N/A
FIN-2110,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-12 14:00:00,N/A
FIN-2950,Oppgave,2025-05-15 14:00:00,,N/A
FIN-3900,Oppgave,2025-05-15 14:00:00,,N/A
GLU-2000,Oppgave,2025-05-13 14:00:00,,N/A
HIF-1110,Hjemmeeksamen,2025-05-06 09:00:00,2025-05-08 13:00:00,N/A
HIF-1111,Hjemmeeksamen,2025-04-23 09:00:00,2025-04-25 13:00:00,N/A
HIF-2043,Oppgave,2025-06-06 14:00:00,,N/A
HIF-2055,Hjemmeeksamen,2024-12-11 09:00:00,2024-12-18 14:00:00,N/A
HIF-2110,Oppgave,2025-05-22 14:00:00,,N/A
HIF-2151,Hjemmeeksamen,2024-11-15 09:00:00,2024-11-22 14:00:00,N/A
HIF-2160,Hjemmeeksamen,2025-04-23 09:00:00,2025-04-30 14:00:00,N/A
HIF-2300,Hjemmeeksamen,2024-11-18 09:00:00,2024-11-25 14:00:00,N/A
HIF-3010,Assignment,2024-12-11 14:00:00,,N/A
HIF-3011,Assignment,2025-05-19 14:00:00,,N/A
HIF-3021,Assignment,2025-05-26 14:00:00,,N/A
HIF-3022,Off_campus_exam,2024-12-02 09:00:00,2024-12-09 14:00:00,N/A
HIF-3082,Assignment,2025-05-28 14:00:00,,N/A
HIF-3111,Assignment,2025-05-15 14:00:00,,N/A
HIF-3211,Portfolio,2025-06-03 14:00:00,,N/A
HIF-3301,Hjemmeeksamen,2024-11-22 09:00:00,2024-11-29 14:00:00,N/A
HIF-3620,School_exam,2024-11-27 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIF-6002,Mappevurdering,2024-12-16 14:00:00,,N/A
HIS-1010,Skriftlig_skoleeksamen,2025-05-13 09:00:00,,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
HIS-1023,Hjemmeeksamen,2024-11-22 09:00:00,2024-11-22 15:00:00,N/A
HIS-1025,Skriftlig_skoleeksamen,2025-05-23 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-1111,Off_campus_exam,2024-11-12 09:00:00,2024-11-19 14:00:00,N/A
HIS-1201,Skriftlig_skoleeksamen,2024-12-03 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-1202,Skriftlig_skoleeksamen,2025-05-16 09:00:00,,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
HIS-2009,Hjemmeeksamen,2025-05-26 09:00:00,2025-06-03 14:00:00,N/A
HIS-2010,Oppgave,2025-05-15 14:00:00,,N/A
HIS-2019,School_exam,2025-04-30 09:00:00,,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
HIS-2022,Oppgave,2025-05-15 14:00:00,,N/A
HIS-3001,Oppgave,2024-11-29 14:00:00,,N/A
HIS-3003,Hjemmeeksamen,2024-11-15 09:00:00,2024-11-22 14:00:00,N/A
HIS-3005,School_exam,2024-12-03 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-3008,Hjemmeeksamen,2025-03-28 09:00:00,2025-04-11 15:00:00,N/A
HIS-3023,Hjemmeeksamen,2024-11-21 09:00:00,2024-11-28 14:00:00,N/A
HIS-3900,Oppgave,2025-05-15 14:00:00,,N/A
HIS-3980,Oppgave,2025-05-15 14:00:00,,N/A
IND-3012,Off_campus_exam,2024-12-13 14:00:00,,N/A
IND-3025,Off_campus_exam,2024-11-13 09:00:00,2024-11-20 14:00:00,N/A
IND-3026,Assignment,2025-04-07 14:00:00,,N/A
IND-3902,Assignment,2025-05-15 14:00:00,,N/A
IND-3904,Assignment,2025-05-15 14:00:00,,N/A
KVE-1008,Hjemmeeksamen,2024-12-02 09:00:00,2024-12-09 14:00:00,N/A
KVE-1008,Muntlig_eksamen,2024-11-22 09:00:00,,N/A
KVE-2021,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-06 13:00:00,N/A
KVE-2110,Oppgave,2025-05-12 14:00:00,,N/A
KVE-2950,Oppgave,2025-06-02 14:00:00,,N/A
KVE-3900,Oppgave,2025-05-15 14:00:00,,N/A
KVF-3010,Hjemmeeksamen,2024-12-04 09:00:00,2024-12-11 14:00:00,N/A
KVF-3017,Hjemmeeksamen,2025-05-22 09:00:00,2025-05-30 14:00:00,N/A
KVF-3110,Hjemmeeksamen,2024-11-25 09:00:00,2024-12-02 14:00:00,N/A
KVF-3111,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-12 14:00:00,N/A
KVI-0100,Oppgave,2024-11-22 14:00:00,,N/A
KVI-1010,Mappevurdering,2025-05-15 14:00:00,,N/A
KVI-1014,Hjemmeeksamen,2025-06-06 09:00:00,2025-06-06 15:00:00,N/A
KVI-1015,Hjemmeeksamen,2025-05-22 09:00:00,2025-05-30 14:00:00,N/A
KVI-1113,Muntlig_eksamen,2024-12-12 09:00:00,,N/A
KVI-1115,Hjemmeeksamen,2024-11-18 09:00:00,2024-11-27 14:00:00,N/A
KVI-2018,Hjemmeeksamen,2025-05-21 09:00:00,2025-05-28 14:00:00,N/A
KVI-2050,Oppgave,2025-05-15 14:00:00,,N/A
KVI-3123,Mappevurdering,2024-11-22 14:00:00,,N/A
KVI-3220,Hjemmeeksamen,2025-05-06 09:00:00,2025-05-16 14:00:00,N/A
KVI-3900,Oppgave,2025-05-15 14:00:00,,N/A
LER-1001,Oppgave,2025-05-16 14:00:00,,Digital undervisning – Digital undervisning
LER-1003,Oppgave,2025-05-09 14:00:00,,N/A
LER-1010,Muntlig_eksamen,2024-12-03 00:00:00,2024-12-05 00:00:00,N/A
LER-1011,Oppgave,2025-05-19 14:00:00,,N/A
LER-1012,Muntlig_eksamen,2024-12-03 00:00:00,2024-12-05 00:00:00,N/A
LER-1013,Oppgave,2025-05-19 14:00:00,,N/A
LER-1021,Oppgave,2025-05-09 14:00:00,,Digital undervisning – Digital undervisning
LER-1051,Oppgave,2025-05-14 14:00:00,,N/A
LER-1052,Oppgave,2025-03-14 16:00:00,,Digital undervisning – Digital undervisning
LER-1061,Oppgave,2025-02-24 14:00:00,,N/A
LER-1062,Oppgave,2025-02-24 14:00:00,,N/A
LER-1071,Oppgave,2025-05-12 14:00:00,,Digital undervisning – Digital undervisning
LER-1101,Hjemmeeksamen,2025-05-19 09:00:00,2025-05-23 14:00:00,N/A
LER-1102,Hjemmeeksamen,2025-05-19 09:00:00,2025-05-23 14:00:00,N/A
LER-1103,Hjemmeeksamen,2024-12-11 09:00:00,2024-12-13 13:00:00,N/A
LER-1104,Skriftlig_skoleeksamen,2024-12-04 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
LER-1110,Hjemmeeksamen,2024-12-11 09:00:00,2024-12-12 14:00:00,N/A
LER-1111,Hjemmeeksamen,2025-05-30 09:00:00,2025-06-04 14:00:00,N/A
LER-1112,Hjemmeeksamen,2025-05-09 09:00:00,2025-05-14 14:00:00,N/A
LER-1121,Hjemmeeksamen,2025-05-23 09:00:00,2025-05-28 14:00:00,Digital undervisning – Digital undervisning
LER-1153,Skriftlig_skoleeksamen,2025-05-09 09:00:00,,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
LER-1154,Skriftlig_skoleeksamen,2025-05-13 09:00:00,,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)"
LER-1201,Skriftlig_skoleeksamen,2024-12-05 09:00:00,,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
LER-1201,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,N/A
LER-1201,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
LER-1202,Skriftlig_skoleeksamen,2025-06-11 09:00:00,,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
LER-1202,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
LER-1202,Skriftlig_skoleeksamen_-_nasjonal,2025-05-21 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
LER-1204,Muntlig_eksamen,2024-12-04 09:00:00,,N/A
LER-1211,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,N/A
LER-1211,Skriftlig_skoleeksamen,2024-12-06 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
LER-1211,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
LER-1212,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,N/A
LER-1212,Skriftlig_skoleeksamen,2024-12-09 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
LER-1221,Skriftlig_skoleeksamen_-_nasjonal,2024-11-27 09:00:00,,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
LER-1221,Skriftlig_skoleeksamen_-_nasjonal,2025-05-21 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
LER-1251,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-12 14:00:00,Digital undervisning – Digital undervisning
LER-1252,Hjemmeeksamen,2025-05-12 09:00:00,2025-05-19 14:00:00,N/A
LER-1253,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-12 14:00:00,N/A
LER-1254,Hjemmeeksamen,2024-12-06 09:00:00,2024-12-13 14:00:00,N/A
LER-1260,Hjemmeeksamen,2025-05-26 09:00:00,2025-06-03 14:00:00,N/A
LER-1261,Hjemmeeksamen,2024-12-09 09:00:00,2024-12-16 14:00:00,N/A
LER-1262,Hjemmeeksamen,2024-12-09 09:00:00,2024-12-16 14:00:00,N/A
LER-1271,Hjemmeeksamen,2025-05-12 09:00:00,2025-05-19 14:00:00,Digital undervisning – Digital undervisning
LER-1273,Hjemmeeksamen,2024-12-06 09:00:00,2024-12-13 14:00:00,N/A
LER-1301,Skriftlig_skoleeksamen,2025-05-16 09:00:00,,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
LER-1302,Skriftlig_skoleeksamen,2025-05-16 09:00:00,,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
LER-1303,Muntlig_eksamen,2024-12-03 09:00:00,,N/A
LER-1304,Muntlig_eksamen,2024-12-03 09:00:00,,N/A
LER-1310,Muntlig_eksamen,2024-12-04 08:30:00,,N/A
LER-1312,Skriftlig_skoleeksamen,2025-05-16 09:00:00,,"(ALTA): Campus Alta: Paviljong 1, 2, 3 og m.bygg – Rom P178, Parilla
(ALTA): Campus Alta: Paviljong 1, 2, 3 og m.bygg – Rom P179, Sarikoski"
LER-1351,Muntlig_eksamen,2024-12-05 00:00:00,2024-12-05 00:00:00,N/A
LER-1352,Muntlig_eksamen,2024-12-05 00:00:00,2024-12-05 00:00:00,N/A
LER-1501,Praktisk_eksamen,2024-11-29 08:00:00,,N/A
LER-1511,Praktisk_eksamen,2024-12-02 00:00:00,2024-12-03 00:00:00,N/A
LER-1711,Skriftlig_skoleeksamen,2024-12-09 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
LER-2050,Oppgave,2024-12-11 14:00:00,,N/A
LER-2051,Oppgave,2025-05-19 14:00:00,,Digital undervisning – Digital undervisning
LER-2060,Oppgave,2024-12-13 14:00:00,,N/A
LER-2061,Oppgave,2025-05-26 14:00:00,,N/A
LER-2071,Oppgave,2025-05-09 13:00:00,,N/A
LER-2152,Skriftlig_skoleeksamen,2025-05-12 09:00:00,,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
LER-2162,Skriftlig_skoleeksamen,2025-05-12 09:00:00,,"(ALTA): Campus Alta: Paviljong 1, 2, 3 og m.bygg – Rom P179, Sarikoski"
LER-2201,Hjemmeeksamen,2025-06-02 08:00:00,2025-06-06 13:00:00,Digital undervisning – Digital undervisning
LER-2202,Skriftlig_skoleeksamen,2025-05-22 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
LER-2211,Hjemmeeksamen,2025-06-02 09:00:00,2025-06-06 14:00:00,N/A
LER-2212,Skriftlig_skoleeksamen,2025-05-19 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
LER-2221,Hjemmeeksamen,2025-06-02 08:00:00,2025-06-06 13:00:00,Digital undervisning – Digital undervisning
LER-2252,Hjemmeeksamen,2025-01-17 09:00:00,2025-01-24 14:00:00,N/A
LER-2262,Hjemmeeksamen,2025-04-23 09:00:00,2025-04-30 14:00:00,N/A
LER-2303,Skriftlig_skoleeksamen,2024-12-06 09:00:00,,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
LER-3000,Oppgave,2024-12-06 14:00:00,,N/A
LER-3001,Hjemmeeksamen,2024-11-29 09:00:00,2024-11-29 15:00:00,N/A
LER-3002,Hjemmeeksamen,2024-11-29 09:00:00,2024-11-29 15:00:00,N/A
LER-3010,Muntlig_eksamen,2024-12-09 00:00:00,2024-12-11 00:00:00,N/A
LER-3011,Hjemmeeksamen,2024-12-02 09:00:00,2024-12-02 15:00:00,N/A
LER-3012,Hjemmeeksamen,2024-12-02 09:00:00,2024-12-02 15:00:00,N/A
LER-3050,Oppgave,2025-05-12 13:00:00,,Digital undervisning – Digital undervisning
LER-3100,Hjemmeeksamen,2025-05-02 12:00:00,2025-05-09 12:00:00,Digital undervisning – Digital undervisning
LER-3110,Hjemmeeksamen,2025-05-13 09:00:00,2025-05-15 14:00:00,N/A
LER-3111,Praktisk_eksamen,2025-05-22 08:30:00,,N/A
LER-3151,Oppgave,2025-05-09 13:00:00,,Digital undervisning – Digital undervisning
LER-3211,Skriftlig_skoleeksamen,2025-05-22 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
LER-3250,Hjemmeeksamen,2025-05-09 09:00:00,2025-05-23 14:00:00,Digital undervisning – Digital undervisning
LER-3301,Mappevurdering,2025-05-14 14:00:00,,N/A
LER-3680,Oppgave,2024-12-12 14:00:00,,N/A
LER-3901,Oppgave,2025-05-15 14:00:00,,N/A
LER-3902,Oppgave,2025-05-15 14:00:00,,N/A
LER-3903,Oppgave,2025-05-15 14:00:00,,N/A
LER-3904,Oppgave,2025-05-15 14:00:00,,N/A
LER-3905,Oppgave,2025-05-15 14:00:00,,N/A
LER-3906,Oppgave,2025-05-15 14:00:00,,N/A
LER-3908,Oppgave,2025-05-15 14:00:00,,N/A
LER-3911,Oppgave,2025-05-15 14:00:00,,N/A
LER-3912,Oppgave,2025-05-15 14:00:00,,N/A
LER-3913,Oppgave,2025-05-15 14:00:00,,N/A
LIN-3990,Assignment,2025-05-15 14:00:00,,N/A
MDA-1008,Mappevurdering,2025-06-11 14:00:00,,N/A
MDA-1008,Skriftlig_skoleeksamen,2025-06-06 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
MDA-1013,Muntlig_eksamen,2024-12-12 08:00:00,,N/A
MDA-1014,Skriftlig_skoleeksamen,2025-04-09 09:00:00,,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
